LigandAnnotID	ECMpAnnotID	Well	CellLine	Ligand	Endpoint488	Endpoint555	Endpoint647	EndpointDAPI	ECMp	MeanIntensityDAPI	ElongationFactor	MeanIntensityAlexa488	MeanIntensityAlexa555	TotalIntensityAlexa555	MeanIntensityAlexa647	Area	Z	SpotCellCount	LoessSCC	TotalIntensityDAPI	MeanIntensityDAPIMedNorm	MeanIntensityAlexa488MedNorm	MeanIntensityAlexa555MedNorm	TotalIntensityAlexa555MedNorm	MeanIntensityAlexa647MedNorm	TotalIntensityDAPIMedNorm	SpotCellCountMedNorm	RadialPosition	Density	EdUPositiveProportion	CVElongationFactor	CVZ	CVLoessSCC	CVRadialPosition	CVDensity	CVEdUPositiveProportion
ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091	ALCAM_Q13740	B01	PC3	ANGPT1	H3K9me3	Fibrillarin	EdU	DAPI	ALCAM	384.5838625	1.749510775	148.41379	54.8989505	204182.5	4.6471691	3800.5	5753.415	15.5	0.896771320081928	1228252.468145	0.498692472279798	1.55627010914066	1.17814311952767	0.917027127690894	0.64138033108678	0.36674264626325	0.287037037037037	109.885988117342	1.02580334414698	0	0.0551985538823971	0.00151448762335098	0.609079745575414	0.211838412200933	0.884545538930642	1.62743168444493
ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091	BCAN_ Q96GW7	B01	PC3	ANGPT1	H3K9me3	Fibrillarin	EdU	DAPI	BCAN	353.539765	1.74979555	158.84412	56.165981	222211	4.9279175	3902	5754.63	10	0.974927204048431	1334042.00385	0.458437382970194	1.66564276789072	1.20533386274246	0.997996963850091	0.680127899309354	0.398330235360472	0.185185185185185	103.500990259452	0.621698996452716	0	0.0793563918796463	0.00144982002912916	0.552398384595335	0.163820622387851	0.700338099862733	2.06147933528717
ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091	BGN_ P21810	B01	PC3	ANGPT1	H3K9me3	Fibrillarin	EdU	DAPI	BGN	384.40895	1.8312583	159.07128	53.8253815	206583	5.0909196	4188.25	5757.43	12	0.917730297119165	1300229.019	0.498465662068651	1.66802477240655	1.15510410112807	0.927808284842079	0.702624679309427	0.388234050851536	0.222222222222222	105.904128739282	0.746038795743259	0	0.0585526805074925	0.00136273434080965	0.273215473493657	0.232630455661272	0.460450331343094	1.41645832715331
ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091	CADH15_P55291	B01	PC3	ANGPT1	H3K9me3	Fibrillarin	EdU	DAPI	CADH15	313.1354375	1.824564725	143.59193	50.28031225	191223.755	5.054928675	4090.75	5755.755	11	0.876083478225754	1184376.7433125	0.406044820680148	1.50570798422988	1.07902616326045	0.858826641822473	0.697657381822314	0.353641838531033	0.203703703703704	101.637777452631	0.621698996452716	0	0.0702601579922819	0.0011124335591928	0.169602143836451	0.213980643957952	0.700672205190946	1.86949024874514
ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091	CD44_P16070	B01	PC3	ANGPT1	H3K9me3	Fibrillarin	EdU	DAPI	CD44	363.212715	1.829305475	158.1464375	54.1581155	211956.25	4.77768155	4048	5751.49	15	0.928944911380174	1357113.51879	0.470980362070725	1.65832685458899	1.1622446433272	0.95194069586587	0.659393043039084	0.405219135372353	0.277777777777778	116.432589558625	0.808208695388531	0	0.0876889739653951	0.0011441248473477	0.218251170643088	0.161550168808501	0.588482260804559	1.70066170922778
ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091	CDH1_P12830	B01	PC3	ANGPT1	H3K9me3	Fibrillarin	EdU	DAPI	CDH1	348.23703	1.7900932	147.39902	52.826401	210645	4.62431385	3882	5752.61	17	0.932800067583747	1122915.03696	0.451561290952696	1.54562920967537	1.13366576775561	0.946051592631339	0.638225957424744	0.335290050591528	0.314814814814815	118.869376740698	1.11905819361489	0.05	0.0453100576410052	0.00115993758300033	0.407145950278675	0.193894850986205	0.525950611913399	1.28875756385803
ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091	CDH20_Q9HBT6	B01	PC3	ANGPT1	H3K9me3	Fibrillarin	EdU	DAPI	CDH20	387.0571	1.7525635	165.71912	55.2562145	209203.5	4.8787148	3722.5	5750.84	13	0.925107405627092	1158663.51066	0.501899535923583	1.73773416182616	1.1858100807286	0.939577508884855	0.673337175034577	0.345964150733505	0.240740740740741	100.690383276439	0.994718394324346	0	0.0533806285320236	0.0013526505912402	0.198652327231068	0.229127385845697	0.529046808938301	3.08730642754906
ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091	CDH3_P22223	B01	PC3	ANGPT1	H3K9me3	Fibrillarin	EdU	DAPI	CDH3	372.03554	1.807730725	153.690035	55.2017595	198473.25	5.156637825	3605.25	5753.255	14.5	1.01097698228813	1168407.986195	0.482420978385566	1.61159692467446	1.18464146488094	0.891385669050857	0.711694798343601	0.348873743701432	0.268518518518518	104.179534257912	1.18122809326016	0	0.069456583748503	0.000887535350439031	0.225665476049646	0.121914846227118	0.43924551859031	2.33741826171329
ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091	CDH6_P55285	B01	PC3	ANGPT1	H3K9me3	Fibrillarin	EdU	DAPI	CDH6	368.819275	1.7332641	138.18434	55.283537	233360.01	4.44046545	4088	5751.685	11.5	1.04147379096452	1354402.00511	0.47825042600219	1.44900388227623	1.18639642737257	1.0480695441001	0.612852069553572	0.404409507280269	0.212962962962963	104.586419021855	0.621698996452716	0	0.0734579151434652	0.00139912121886909	0.268422259670749	0.222777425093303	0.70601765927095	1.80198653345634
ANGPT1_Q15389-RnDSystems_923AN025_FHW2711091	CDH8_P55286	B01	PC3	ANGPT1	H3K9me3	Fibrillarin	EdU	DAPI	CDH8	357.88308	1.777712925	144.154265	52.56636825	193619.5	4.614212775	3873.25	5753.93	16.5	0.928652597559554	1164410.9936025	0.464069388642923	1.51160464081297	1.12808540979842	0.869586443255161	0.636831854759568	0.347680285777686	0.305555555555556	114.186138224924	1.05688829396962	0	0.0695429627134098	0.00170135341162534	0.294783116566672	0.224763030719313	0.726319975015792	1.45225049340746
